A,B,O,bond_angle_a,bond_angle_c,cbm_diff,cbm_hse,cbm_k_pbe,cbm_pbe,gap_diff,gap_hse,gap_pbe,material,vbm_diff,vbm_hse,vbm_k_pbe,vbm_pbe
Sr,Ti,O,169.14426665183345,172.20347668249218,0.5892999999999997,5.7432,1.0,5.1539,1.4889,3.3807,1.8918,SrTiO,-0.8996000000000004,2.3625,4.0,3.2621
Sr,Zr,O,154.72792760509662,155.47112142738246,0.7046999999999999,7.8523,1.0,7.1476,1.6483000000000003,5.4128,3.7645,SrZrO,-0.9436000000000004,2.4395,1.0,3.3831
Y,Al,O,151.618100840862,151.31988617039738,0.7797000000000001,11.082,1.0,10.3023,1.8289,7.515300000000001,5.686400000000001,YAlO,-1.0492,3.5667,1.0,4.6159
Y,Ga,O,144.07109177644438,145.24799679046302,0.8055000000000003,8.3976,1.0,7.5921,1.8135000000000003,5.8092000000000015,3.9957,YGaO,-1.008,2.5884,1.0,3.5964
Y,In,O,132.1691469579554,136.93534306729376,0.6788000000000007,7.6115,1.0,6.9327,1.5539000000000005,4.3203000000000005,2.7664,YInO,-0.8750999999999998,3.2912,1.0,4.1663
Y,Tl,O,128.54066618716934,131.34736895952702,0.3291999999999993,5.0352,1.0,4.706,1.0588999999999986,1.9141999999999992,0.8553000000000006,YTlO,-0.7296999999999993,3.1210000000000004,1.0,3.8507
Zn,Ge,O,140.71872208933198,140.64244675645108,0.6762999999999995,6.8267,1.0,6.1504,1.9093,3.8459,1.9366000000000003,ZnGeO,-1.2329999999999999,2.9808,1.0,4.2138
Zn,Hf,O,135.49230125528393,132.96179471052096,0.8031000000000006,6.1889,1.0,5.3858,1.798300000000001,4.7589999999999995,2.9607,ZnHfO,-0.9952,1.4299,1.0,2.4251
Zn,Sn,O,133.29176208231522,132.82737562070585,0.6162999999999998,6.4064,1.0,5.7901,1.7232999999999996,2.9763999999999995,1.2531,ZnSnO,-1.1069999999999998,3.43,10.0,4.537
Zn,Ti,O,140.30196101329128,137.7117969835078,0.6050000000000004,5.9149,1.0,5.3099,1.5238,3.6949,2.1711,ZnTiO,-0.9187999999999996,2.22,1.0,3.1388
Zn,Zr,O,134.1442300320453,131.65861719089574,0.8096000000000005,8.022,1.0,7.2124,1.7719000000000005,4.8661,3.0942,ZnZrO,-0.9623,3.1559,1.0,4.1182
Ag,As,O,150.62598731403082,,-0.8687000000000005,5.5158,2.0,6.3845,-0.05760000000000076,-0.2082000000000006,-0.15059999999999985,AgAsO,-0.8110999999999997,5.724,33.0,6.5351
Ag,Nb,O,152.67033938830113,,0.3270999999999997,5.1545,33.0,4.8274,1.2511,1.9091,0.6579999999999995,AgNbO,-0.9240000000000004,3.2454,33.0,4.1694
Ag,P,O,160.58170063934884,,-0.5406999999999993,8.0229,2.0,8.5636,0.4741000000000009,0.2787999999999995,-0.19530000000000136,AgPO,-1.0148,7.7441,33.0,8.7589
Ag,Sb,O,148.8428225382754,,-0.5920999999999994,6.2309,2.0,6.823,0.4606000000000003,0.35100000000000003,-0.10960000000000036,AgSbO,-1.0526999999999995,5.8799,1.0,6.9326
Ag,Ta,O,155.5245134833211,,0.4539,6.2229,33.0,5.769,1.4630999999999994,2.8836,1.4205000000000003,AgTaO,-1.0091999999999994,3.3393,33.0,4.3485
Ag,V,O,153.63264494403856,,-0.1933999999999996,4.9038,17.0,5.0972,0.2140000000000004,0.1231,-0.09090000000000042,AgVO,-0.4074,4.7807,3.0,5.1881
Au,As,O,138.040735752413,,-0.17490000000000006,5.5779,3.0,5.7528,-0.04239999999999977,-1.003,-0.9606000000000005,AuAsO,-0.13250000000000028,6.5809,1.0,6.7134
Au,Nb,O,149.5500499021079,,0.13289999999999935,5.2947,33.0,5.1618,0.6766999999999994,0.7763999999999998,0.09970000000000034,AuNbO,-0.5438000000000001,4.5183,33.0,5.0621
Au,P,O,157.49477988137141,,-0.28889999999999993,6.2919,4.0,6.5808,-0.2407000000000004,-2.6503,-2.4095999999999997,AuPO,-0.048199999999999577,8.9422,34.0,8.9904
Au,Sb,O,145.196456785899,,-0.6783999999999999,6.6959,2.0,7.3743,-0.04159999999999986,-0.2591999999999999,-0.2176,AuSbO,-0.6368,6.9551,1.0,7.5919
Au,Ta,O,153.6559188587115,,0.54,6.1614,1.0,5.6214,1.3497000000000003,1.6979000000000006,0.3482000000000003,AuTaO,-0.8097000000000003,4.4635,33.0,5.2732
Ba,Ge,O,179.9766860284095,,-0.24090000000000036,3.6182,1.0,3.8591,0.8762999999999996,0.7790999999999997,-0.09719999999999997,BaGeO,-1.1172,2.8391,4.0,3.9563
Ba,Hf,O,179.96419438759514,,0.6800999999999995,6.56,1.0,5.8799,1.6178,5.1201,3.5023,BaHfO,-0.9377000000000002,1.4399,4.0,2.3776
Ba,Si,O,179.99507630684846,,0.5911999999999997,7.064,1.0,6.4728,1.7426,3.4273,1.6847000000000003,BaSiO,-1.1514000000000002,3.6367,4.0,4.7881
Ba,Sn,O,179.94413045315113,,0.6942000000000004,5.6352,1.0,4.941,1.7613000000000008,2.4693,0.7079999999999993,BaSnO,-1.0671000000000004,3.1659,4.0,4.2330000000000005
Ba,Ti,O,179.999621242877,,0.5289999999999999,5.3516,1.0,4.8226,1.4396,3.1392,1.6996000000000002,BaTiO,-0.9106,2.2124,4.0,3.123
Ba,Zr,O,179.96243127981663,,0.6918999999999995,7.4464,1.0,6.7545,1.5904999999999991,4.7022,3.1117000000000004,BaZrO,-0.8985999999999996,2.7442,4.0,3.6428
Be,Ge,O,139.8297178546519,,0.5906000000000002,7.763,1.0,7.1724,1.6596000000000002,4.1692,2.5096,BeGeO,-1.069,3.5938,3.0,4.6628
